hour,timestamp,avg_voltage,avg_current,avg_power,energy_kwh,samples,hour_of_day,day_of_week,is_weekend
2006-12-16_17,1166288400,234.64,18.1,4.223,4.223,60,17,5,1
2006-12-16_18,1166292000,234.58,15.6,3.632,3.632,60,18,5,1
2006-12-16_19,1166295600,233.23,14.5,3.4,3.4,60,19,5,1
2006-12-16_20,1166299200,234.07,13.92,3.269,3.269,60,20,5,1
2006-12-16_21,1166302800,237.16,13.05,3.056,3.056,60,21,5,1
2006-12-16_22,1166306400,238.76,9.52,2.2,2.2,60,22,5,1
2006-12-16_23,1166310000,240.62,8.9,2.062,2.062,60,23,5,1
2006-12-17_00,1166313600,240.96,8.13,1.882,1.882,60,0,6,1
2006-12-17_01,1166317200,240.45,14.25,3.349,3.349,60,1,6,1
2006-12-17_02,1166320800,245.82,6.87,1.587,1.587,60,2,6,1
2006-12-17_03,1166324400,244.51,7.21,1.662,1.662,60,3,6,1
2006-12-17_04,1166328000,243.86,9.33,2.216,2.216,60,4,6,1
2006-12-17_05,1166331600,243.71,8.57,1.997,1.997,60,5,6,1
2006-12-17_06,1166335200,244.14,5.53,1.303,1.303,60,6,6,1
2006-12-17_07,1166338800,241.85,6.8,1.62,1.62,60,7,6,1
2006-12-17_08,1166342400,241.31,8.05,1.891,1.891,60,8,6,1
2006-12-17_09,1166346000,238.85,10.97,2.549,2.549,60,9,6,1
2006-12-17_10,1166349600,235.44,15.53,3.629,3.629,60,10,6,1
2006-12-17_11,1166353200,236.92,10.49,2.471,2.471,60,11,6,1
2006-12-17_12,1166356800,237.78,8.14,1.916,1.916,60,12,6,1
2006-12-17_13,1166360400,239.92,6.92,1.661,1.661,60,13,6,1
2006-12-17_14,1166364000,244.05,8.6,2.093,2.093,60,14,6,1
2006-12-17_15,1166367600,240.48,12.43,2.985,2.985,60,15,6,1
2006-12-17_16,1166371200,236.78,14.01,3.326,3.326,60,16,6,1
2006-12-17_17,1166374800,234.23,14.51,3.407,3.407,60,17,6,1
2006-12-17_18,1166378400,234.37,15.75,3.697,3.697,60,18,6,1
2006-12-17_19,1166382000,233.2,12.52,2.908,2.908,60,19,6,1
